LANGUAGE,en,fr,es,de,it,ja
English,English,Anglaise,Inglés,Englisch,English,英語
French,Francais,Français,Francés,Französisch,Francais,フランス語
Spanish,Espanol,Inglesa,Español,Spanisch,Espanol,スペイン語
German,Deutsch,Alemana,Alemán,Deutsch,Deutsch,ドイツ人
Japanese,Japanese,Japonesa,Japonés,Japanisch,Japanese,日本語
Italian,Italian,Italiana,Italiana,Italienisch,Italiana,イタリアの
PRESS_ANY_,PRESS ANY KEY TO CONTINUE..,APPUYEZ SUR N'IMPORTE QUELLE TOUCHE POUR CONTINUER..,PULSE CUALQUIER TECLA PARA CONTINUAR..,"DRÜCKEN SIE EINE BELIEBIGE TASTE, UM FORTZUFAHREN..",PREMERE UN TASTO QUALSIASI PER CONTINUARE..,何かキーを押すと続行します..
PLAY_,PLAY,JOUER,JUGAR,SPIELEN,GIOCARE,遊ぶ
UPGRADES_,UPGRADES,MISES À NIVEAU,ACTUALIZACIONES,ERWEITERN,AGGIORNAMENTI,アップグレード
ACHIEVEMENTS_,ACHIEVEMENTS,RÉALISATIONS,LOGROS,ERFOLGE,RISULTATI,業績
SETTINGS_,SETTINGS,PARAMÈTRES,AJUSTES,EINSTELLUNGEN,IMPOSTAZIONI,設定
QUIT_,QUIT,QUITTER,ABANDONAR,VERLASSEN,ESENTATO,やめる
BACK_,BACK,DOS,ATRÁS,ZURÜCK,INDIETRO,戻る
CONFIRM_,CONFIRM,Confirmer,Confirmar,Bestätigen,Confermare,確認する
CANCEL_,CANCEL,Annuler,Cancelar,Stornieren,Cancellare,キャンセル
LOCKED_,LOCKED,FERMÉ À CLÉ,BLOQUEADO,GESPERRT,BLOCCATO,ロック済み
UNLOCKED_,UNLOCKED,DÉBLOQUÉ,DESBLOQUEADO,ENTSPERRT,SBLOCCATO,ロック解除済み
SELECT_,SELECT,SÉLECTIONNER,SELECCIONAR,WÄHLEN,SELEZIONARE,選択する
CHARACTER_SELECTION_,CHARACTER SELECTION,SÉLECTION DES PERSONNAGES,SELECCIÓN DE PERSONAJES,CHARAKTERAUSWAHL,SELEZIONE DEL PERSONAGGIO,キャラクターの選択
